# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Fri Jan  7 16:11:34 2022
# Spectral unit: Frequency[cm-1]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
1.310000000e+03 9.97740e-01 9.99993e-01 1.00000e+00 1.00000e+00 9.98092e-01 1.00000e+00 9.99667e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99987e-01
1.309997380e+03 9.97666e-01 9.99993e-01 1.00000e+00 1.00000e+00 9.98017e-01 1.00000e+00 9.99667e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99987e-01
1.309994760e+03 9.97592e-01 9.99993e-01 1.00000e+00 1.00000e+00 9.97943e-01 1.00000e+00 9.99667e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99987e-01
1.309992140e+03 9.97519e-01 9.99993e-01 1.00000e+00 1.00000e+00 9.97871e-01 1.00000e+00 9.99667e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99987e-01
1.309989520e+03 9.97435e-01 9.99993e-01 1.00000e+00 1.00000e+00 9.97787e-01 1.00000e+00 9.99666e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99988e-01
1.309986900e+03 9.97340e-01 9.99993e-01 1.00000e+00 1.00000e+00 9.97694e-01 1.00000e+00 9.99664e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99988e-01
1.309984280e+03 9.97237e-01 9.99993e-01 1.00000e+00 1.00000e+00 9.97592e-01 1.00000e+00 9.99663e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99988e-01
1.309981660e+03 9.97128e-01 9.99994e-01 1.00000e+00 1.00000e+00 9.97480e-01 1.00000e+00 9.99666e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99988e-01
1.309979040e+03 9.97005e-01 9.99994e-01 1.00000e+00 1.00000e+00 9.97356e-01 1.00000e+00 9.99667e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99988e-01
1.309976420e+03 9.96868e-01 9.99994e-01 1.00000e+00 1.00000e+00 9.97218e-01 1.00000e+00 9.99668e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99988e-01
1.309973800e+03 9.96715e-01 9.99994e-01 1.00000e+00 1.00000e+00 9.97065e-01 1.00000e+00 9.99668e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99988e-01
1.309971180e+03 9.96542e-01 9.99994e-01 1.00000e+00 1.00000e+00 9.96892e-01 1.00000e+00 9.99668e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99988e-01
